team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Cleveland Guardians,2.6,2.38,1.99,2.38,2.6,2.22,2.15,2.45,2.35,2.28,2.35,2.32,2.35,2.35,2.4,2.06,2.5,2.0,2.4,2.35,2.16,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671e5fd42a321195af770e20bb6c093e,2023-03-30 20:15:00,Seattle Mariners,Cleveland Guardians,0,Thu,AL,1.0,AL,1.0,N,SEA03,Seattle Mariners,64.0,2023-03-30 20:14:00,19,0.0,0,Seattle Mariners,AL,AL,1.0,1.0,2.6,2.331304347826088,11.52555016784779,-100.0,2023-03-30,-200.0,-100.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Washington Nationals,2.95,3.0,2.88,3.0,3.9,3.0,2.63,3.4,2.9,3.65,3.6,3.65,3.7,3.75,3.75,3.75,2.98,3.15,3.75,3.6,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97d9e86b68d5033f37c6a6030efcf641,2023-03-30 10:30:00,Washington Nationals,Atlanta Braves,0,Thu,NL,1.0,NL,1.0,D,WAS11,Atlanta Braves,25.0,2023-03-30 10:30:00,10,0.0,1,Atlanta Braves,NL,NL,1.0,1.0,3.9,3.352727272727273,16.323210412147503,-100.0,2023-03-30,-200.0,-200.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Seattle Mariners,2.25,2.35,2.6,2.4,2.38,2.45,2.3,2.3,2.45,2.58,2.23,2.25,2.25,2.2,2.25,2.23,2.25,2.25,2.48,1.72,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cf428a63d7e199c4649c46ddb08f82da,2023-04-01 19:50:00,Seattle Mariners,Cleveland Guardians,0,Sat,AL,3.0,AL,3.0,N,SEA03,Cleveland Guardians,70.0,2023-04-01 19:49:00,18,0.0,1,Cleveland Guardians,AL,AL,3.0,3.0,2.58,2.320454545454545,11.185112634671905,-100.0,2023-04-01,234.0,-300.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Bovada']
Boston Red Sox,3.05,3.0,2.95,2.3,2.85,3.1,3.05,3.2,3.7,3.8,3.8,3.6,3.8,3.65,3.8,3.8,3.2,3.7,1.65,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290363d40b65863d49a4de949cd89d93,2023-04-01 14:35:00,Boston Red Sox,Baltimore Orioles,0,Sat,AL,2.0,AL,2.0,D,BOS07,Boston Red Sox,84.0,2023-04-01 14:34:00,13,1.0,1,Baltimore Orioles,AL,AL,2.0,2.0,3.8,3.2809523809523804,15.820029027576211,280.0,2023-04-01,234.0,-20.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Bovada']
Tampa Bay Rays,1.0,1.0,1.01,1.01,1.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71ee03890fab3ac7d4f27d5378a7abcf,2023-04-01 14:20:00,Tampa Bay Rays,Detroit Tigers,0,Sat,AL,2.0,AL,2.0,D,STP01,Tampa Bay Rays,68.0,2023-04-01 14:18:00,13,1.0,1,Detroit Tigers,AL,AL,2.0,2.0,1.54,1.157142857142857,33.08641975308643,54.0,2023-04-01,234.0,34.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Houston Astros,1.54,1.61,1.7,1.72,1.57,1.53,1.82,1.67,1.61,1.8,1.6,1.6,1.6,1.56,1.6,1.6,1.6,1.6,1.57,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0be8e190246101a1195d7953fcfff566,2023-04-02 12:25:00,Houston Astros,Chicago White Sox,0,Sun,AL,4.0,AL,4.0,D,HOU03,Chicago White Sox,73.0,2023-04-02 12:23:00,11,0.0,1,Chicago White Sox,AL,AL,4.0,4.0,1.8,1.6342857142857146,10.13986013986012,-100.0,2023-04-02,-200.0,-66.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Bovada']
Philadelphia Phillies,2.8,3.05,3.05,0.0,2.9,0.0,0.0,0.0,0.0,3.1,2.8,3.05,0.0,2.7,2.86,3.3,0.0,0.0,0.0,0.0,0.0,2.7,2.05,0.0,0.0,2.8,2.64,1.0,0.0,2.75,0.0,2.8,0.0,2.8,2.75,2.8,2.1,0.0,0.0,11ceaf6e24f4c0d4467012906f4a649b,2023-04-02 16:55:00,Texas Rangers,Philadelphia Phillies,0,Sun,NL,3.0,AL,3.0,N,ARL03,Texas Rangers,46.0,2023-04-02 16:54:00,16,0.0,0,Texas Rangers,NL,AL,3.0,3.0,3.1,2.722727272727272,13.856427378964971,-100.0,2023-04-02,-200.0,-166.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Bovada']
Detroit Tigers,1.57,1.0,1.55,1.25,1.54,1.5,3.4,1.57,1.53,3.75,3.75,3.75,3.7,3.75,3.75,3.75,1.67,1.41,1.33,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77b98c6233cb4f76fc33c6dfd3b6e445,2023-04-03 18:55:00,Houston Astros,Detroit Tigers,0,Mon,AL,4.0,AL,5.0,N,HOU03,Detroit Tigers,105.0,2023-04-03 18:55:00,17,1.0,0,Houston Astros,AL,AL,4.0,5.0,3.75,2.420952380952381,54.89771833202204,275.0,2023-04-03,318.0,109.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,"['Draftkings', 'Bovada']"
St. Louis Cardinals,3.35,3.3,2.25,1.85,3.55,3.26,2.05,3.1,3.05,3.15,3.15,3.0,3.15,3.05,3.15,3.15,3.35,3.3,1.98,3.35,3.25,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1ecaa07667b64f01b4392bcecb1e19d9,2023-04-03 17:10:00,St. Louis Cardinals,Atlanta Braves,0,Mon,NL,4.0,NL,4.0,N,STL10,Atlanta Braves,25.0,2023-04-03 17:10:00,16,0.0,1,Atlanta Braves,NL,NL,4.0,4.0,3.55,2.972173913043477,19.44119368051496,-100.0,2023-04-03,318.0,9.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Los Angeles Dodgers,2.05,2.3,2.1,2.25,1.0,2.39,2.25,2.4,2.38,2.38,2.43,2.43,2.35,2.43,2.38,2.43,2.43,1.15,2.25,1.45,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d512ddbba5bef1040b24e094a907672d,2023-04-03 20:40:00,Los Angeles Dodgers,Colorado Rockies,0,Mon,NL,5.0,NL,5.0,N,LOS03,Los Angeles Dodgers,90.0,2023-04-03 20:40:00,19,1.0,1,Colorado Rockies,NL,NL,5.0,5.0,2.43,2.186818181818182,11.120349199750583,143.0,2023-04-03,318.0,152.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Draftkings']
