team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Chicago White Sox,5.5,6.5,1.01,0.0,6.0,0.0,0.0,0.0,0.0,6.0,5.5,4.93,0.0,4.8,4.6,4.33,0.0,0.0,0.0,0.0,0.0,5.0,2.18,0.0,0.0,4.5,2.76,1.0,0.0,5.2,0.0,5.5,0.0,5.1,5.1,5.5,0.0,0.0,0.0,7de9dad87118ee281e48da1d8d6ed181,2023-03-30 18:15:00,Houston Astros,Chicago White Sox,0,Thu,AL,1.0,AL,1.0,N,HOU03,Chicago White Sox,127.0,2023-03-30 18:15:00,16,1.0,0,Houston Astros,AL,AL,1.0,1.0,5.5,4.595714285714284,19.67671743860744,450.0,2023-03-30,450.0,450.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Oakland Athletics,2.3,2.05,1.95,2.1,2.15,2.12,2.15,2.23,2.3,2.4,2.2,2.18,2.2,2.7,2.6,2.7,2.7,2.63,2.7,2.26,2.28,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d9823834125a3085fcea949afb845853,2023-04-02 13:55:00,Oakland Athletics,Los Angeles Angels,0,Sun,AL,3.0,AL,3.0,D,OAK01,Los Angeles Angels,48.0,2023-04-02 13:54:00,13,0.0,1,Los Angeles Angels,AL,AL,3.0,3.0,2.7,2.336956521739131,15.53488372093021,-100.0,2023-04-02,-340.0,350.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Draftkings']
Philadelphia Phillies,2.95,3.1,2.34,0.0,2.7,0.0,0.0,0.0,0.0,2.2,2.95,2.18,0.0,2.9,2.84,1.85,0.0,0.0,0.0,0.0,0.0,2.85,2.05,0.0,0.0,2.2,2.03,2.2,0.0,2.88,0.0,2.95,0.0,2.95,2.85,2.95,2.1,0.0,0.0,11ceaf6e24f4c0d4467012906f4a649b,2023-04-02 16:40:00,Texas Rangers,Philadelphia Phillies,0,Sun,NL,3.0,AL,3.0,N,ARL03,Texas Rangers,31.0,2023-04-02 16:39:00,16,0.0,0,Texas Rangers,NL,AL,3.0,3.0,2.95,2.589545454545456,13.919606810602048,-100.0,2023-04-02,-340.0,250.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Washington Nationals,2.25,2.15,2.6,2.6,2.5,2.5,2.3,2.2,2.15,2.49,2.5,2.6,2.15,2.18,2.6,2.2,2.57,2.53,2.45,2.1,2.18,2.5,2.6,2.23,2.25,2.25,2.2,2.25,2.25,2.23,2.25,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0d99bbd7ff88bf33a31a57a7798e624e,2023-04-02 10:40:00,Washington Nationals,Atlanta Braves,0,Sun,NL,3.0,NL,3.0,D,WAS11,Washington Nationals,5.0,2023-04-02 10:40:00,10,1.0,1,Atlanta Braves,NL,NL,3.0,3.0,2.6,2.355454545454545,10.382091856426094,160.0,2023-04-02,-340.0,410.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Fanduel']
Baltimore Orioles,3.35,3.3,2.7,3.35,3.25,3.1,3.2,3.25,2.79,3.2,2.88,2.88,2.88,2.85,2.88,2.88,2.85,2.88,2.15,3.36,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5d5bdbee4220f662c345eaf1b3ab8fb4,2023-04-02 11:05:00,Boston Red Sox,Baltimore Orioles,0,Sun,AL,3.0,AL,3.0,D,BOS07,Boston Red Sox,29.0,2023-04-02 11:04:00,10,0.0,0,Boston Red Sox,AL,AL,3.0,3.0,3.35,2.982272727272728,12.330437433318068,-100.0,2023-04-02,-340.0,310.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Philadelphia Phillies,4.6,4.7,3.0,0.0,4.33,0.0,0.0,0.0,0.0,4.25,4.6,4.04,0.0,4.5,4.7,2.6,0.0,0.0,0.0,0.0,0.0,4.5,2.05,0.0,0.0,4.5,4.05,1.0,0.0,4.6,0.0,4.6,0.0,4.4,4.6,4.6,0.0,0.0,0.0,11ceaf6e24f4c0d4467012906f4a649b,2023-04-02 18:05:00,Texas Rangers,Philadelphia Phillies,0,Sun,NL,3.0,AL,3.0,N,ARL03,Texas Rangers,116.0,2023-04-02 18:04:00,16,0.0,0,Texas Rangers,NL,AL,3.0,3.0,4.6,4.0390476190476186,13.888233907097373,-100.0,2023-04-02,-340.0,210.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Baltimore Orioles,4.9,5.0,2.6,5.2,4.5,4.7,4.33,3.28,4.5,4.8,5.0,5.0,4.7,5.0,5.0,4.75,5.0,2.15,2.64,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5d5bdbee4220f662c345eaf1b3ab8fb4,2023-04-02 11:55:00,Boston Red Sox,Baltimore Orioles,0,Sun,AL,3.0,AL,3.0,D,BOS07,Boston Red Sox,80.0,2023-04-02 11:55:00,10,0.0,0,Boston Red Sox,AL,AL,3.0,3.0,5.0,4.411904761904761,13.329735563950363,-100.0,2023-04-02,-340.0,110.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,"['Draftkings', 'Fanduel']"
Chicago Cubs,3.0,3.05,1.27,0.0,2.85,0.0,0.0,0.0,0.0,2.9,3.0,1.38,0.0,1.38,3.3,1.33,0.0,0.0,0.0,0.0,0.0,2.88,1.83,0.0,0.0,3.3,1.32,1.0,0.0,2.9,0.0,3.0,0.0,3.0,2.9,3.0,0.0,0.0,0.0,53a8ed671dd7c0e9a2b7aa394f971c15,2023-04-03 17:20:00,Cincinnati Reds,Chicago Cubs,0,Mon,NL,4.0,NL,4.0,N,LOS03,Cincinnati Reds,100.0,2023-04-03 17:20:00,15,0.0,0,Cincinnati Reds,NL,NL,4.0,4.0,3.3,2.470952380952381,33.55174407400271,-100.0,2023-04-03,-300.0,10.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Fanduel']
Texas Rangers,3.2,3.0,3.25,2.88,3.1,3.25,3.1,3.25,3.1,3.45,3.55,3.55,3.4,3.55,3.4,3.55,3.55,3.14,3.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b4bd7ff476efd614ebcf9b95ecf0a1f5,2023-04-03 18:30:00,Texas Rangers,Baltimore Orioles,0,Mon,AL,4.0,AL,4.0,N,ARL03,Baltimore Orioles,85.0,2023-04-03 18:30:00,17,0.0,1,Baltimore Orioles,AL,AL,4.0,4.0,3.55,3.224761904761904,10.085646780862405,-100.0,2023-04-03,-300.0,-90.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Draftkings']
St. Louis Cardinals,5.1,4.5,4.8,4.33,4.4,5.41,3.9,4.5,4.7,4.7,4.4,4.7,4.5,4.7,4.7,4.4,4.2,4.7,4.0,4.33,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1ecaa07667b64f01b4392bcecb1e19d9,2023-04-03 18:15:00,St. Louis Cardinals,Atlanta Braves,0,Mon,NL,4.0,NL,4.0,N,STL10,Atlanta Braves,90.0,2023-04-03 18:15:00,16,0.0,1,Atlanta Braves,NL,NL,4.0,4.0,5.1,4.458636363636364,14.38474870017329,-100.0,2023-04-03,-300.0,-190.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
