,team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,number_of_game_today,day_of_week,day_night,park_id,minutes_since_commence,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,average_market_odds,highest_bettable_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed
0,Los Angeles Angels,1.48,1.4,1.43,1.45,1.48,1.52,1.47,1.48,1.45,1.44,1.44,1.44,1.42,1.44,1.44,1.44,1.44,1.4,1.49,1.44,1.5,1.5,1.49,1.44,1.44,1.45,1.47,1.44,1.48,1.43,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12bb4f27b059b0b926b52f20d9574914,0,Thu,N,OAK01,0.0,19,0,0,Oakland Athletics,AL,AL,1.0,1.0,1.454516129032258,1.52,4.502106897316494,-100,2023-03-30,-100,-100,6714,13.216535433070867,0.48031496062992124,1342,-800,508
1,Chicago White Sox,2.3,2.3,2.32,2.3,2.3,2.42,2.36,2.36,2.26,2.33,2.25,2.25,2.35,2.26,2.2,2.3,2.34,2.35,2.32,2.32,2.3,2.3,2.28,2.3,2.3,2.3,2.32,2.25,2.25,2.25,2.25,2.36,2.26,0.0,0.0,0.0,0.0,0.0,0.0,f966cfcbe459a1a6b4ea49dc65ed5f25,0,Fri,N,HOU03,0.0,17,0,0,Houston Astros,AL,AL,2.0,2.0,2.3003030303030303,2.42,5.203530496640759,-100,2023-03-31,382,-200,6714,13.216535433070867,0.48031496062992124,1342,-800,508
2,Colorado Rockies,2.55,2.6,2.55,2.7,2.62,2.62,2.7,2.7,2.54,2.74,2.6,2.7,2.6,2.55,2.7,2.7,2.54,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.6,2.54,2.45,2.45,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7cdf5f141c30be44e268ef5bc97097ae,0,Fri,N,SAN02,0.0,18,1,0,San Diego Padres,NL,NL,2.0,2.0,2.618064516129033,2.74,4.657466732380456,174,2023-03-31,382,-26,6714,13.216535433070867,0.48031496062992124,1342,-800,508
3,Cleveland Guardians,2.4,2.45,2.4,2.44,2.4,2.54,2.45,2.45,2.34,2.48,2.35,2.45,2.42,2.38,2.4,2.43,2.46,2.4,2.43,2.43,2.43,2.4,2.38,2.43,2.4,2.43,2.43,2.36,2.4,2.4,2.38,2.5,2.35,0.0,0.0,0.0,0.0,0.0,0.0,db7d886360e87493ff57669cff37880a,0,Fri,N,SEA03,0.0,19,1,0,Seattle Mariners,AL,AL,2.0,2.0,2.417878787878788,2.54,5.050758240380986,154,2023-03-31,382,128,6714,13.216535433070867,0.48031496062992124,1342,-800,508
4,Cleveland Guardians,2.4,2.45,2.4,2.45,2.43,2.54,2.48,2.48,2.41,2.44,2.4,2.5,2.38,2.38,2.5,2.46,2.4,2.38,2.38,2.35,2.33,2.32,2.35,2.33,2.35,2.38,2.45,2.37,2.35,2.38,2.46,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,db7d886360e87493ff57669cff37880a,0,Fri,N,SEA03,0.0,19,1,0,Seattle Mariners,AL,AL,2.0,2.0,2.4059375,2.54,5.572152227562022,154,2023-03-31,382,282,6714,13.216535433070867,0.48031496062992124,1342,-800,508
6,Chicago White Sox,2.05,2.15,2.15,2.1,2.05,2.21,2.1,2.19,2.22,2.13,2.1,2.1,2.1,2.15,2.05,2.05,2.1,2.1,2.1,2.1,2.16,2.16,2.16,2.14,2.1,2.14,2.16,2.16,2.16,2.11,2.13,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7c242376f3d90f53fe7928386bf44971,0,Sat,D,HOU03,0.0,11,0,0,Houston Astros,AL,AL,3.0,3.0,2.125625,2.22,4.439870626286407,-100,2023-04-01,-500,182,6714,13.216535433070867,0.48031496062992124,1342,-800,508
9,Philadelphia Phillies,1.77,1.81,1.81,1.8,1.75,1.8,1.77,1.84,1.79,1.77,1.83,1.76,1.75,1.73,1.77,1.77,1.8,1.74,1.75,1.8,1.79,1.79,1.79,1.78,1.79,1.75,1.79,1.78,1.79,1.77,1.87,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08587b17664cc03b26480f672e09b10a,0,Sat,D,ARL03,0.0,13,0,0,Texas Rangers,NL,AL,2.0,2.0,1.78375,1.87,4.835318850735803,-100,2023-04-01,-500,82,6714,13.216535433070867,0.48031496062992124,1342,-800,508
5,Baltimore Orioles,2.35,2.3,2.36,2.36,2.26,2.35,2.35,2.32,2.54,2.46,2.3,2.36,2.25,2.32,2.25,2.35,2.3,2.35,2.3,2.3,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.39,2.42,2.34,2.25,0.0,0.0,0.0,0.0,0.0,0.0,290363d40b65863d49a4de949cd89d93,0,Sat,D,BOS07,0.0,13,0,0,Boston Red Sox,AL,AL,2.0,2.0,2.341818181818182,2.54,8.462732919254663,-100,2023-04-01,-500,-18,6714,13.216535433070867,0.48031496062992124,1342,-800,508
7,Colorado Rockies,2.95,3.06,3.06,3.0,2.85,3.0,2.95,3.34,2.9,3.2,3.05,3.03,2.8,2.94,2.9,3.0,3.05,2.8,2.8,2.83,3.05,3.05,3.0,3.05,3.05,3.05,3.0,3.0,3.05,3.05,3.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4f7f9bf4d899d20a02ec8128255a10dd,0,Sat,D,SAN02,0.0,17,0,0,San Diego Padres,NL,NL,3.0,3.0,2.9924999999999997,3.2,6.934001670843813,-100,2023-04-01,-500,-118,6714,13.216535433070867,0.48031496062992124,1342,-800,508
8,Colorado Rockies,2.95,3.0,3.0,2.95,2.92,3.0,2.9,3.15,2.85,3.05,2.9,3.01,2.88,2.88,2.85,2.95,3.0,2.8,2.8,2.79,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.05,2.95,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4f7f9bf4d899d20a02ec8128255a10dd,0,Sat,D,SAN02,0.0,17,0,0,San Diego Padres,NL,NL,3.0,3.0,2.9253125000000013,3.05,4.262365131930295,-100,2023-04-01,-500,-218,6714,13.216535433070867,0.48031496062992124,1342,-800,508
11,Baltimore Orioles,2.15,2.2,2.29,2.3,2.18,2.2,2.2,2.26,2.3,2.19,2.23,2.15,2.25,2.2,2.1,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5d5bdbee4220f662c345eaf1b3ab8fb4,0,Sun,D,BOS07,0.0,10,0,0,Boston Red Sox,AL,AL,3.0,3.0,2.20875,2.3,4.131295981890183,-100,2023-04-02,-148,-318,6714,13.216535433070867,0.48031496062992124,1342,-800,508
357,Washington Nationals,1.24,1.2,1.57,1.22,1.24,1.25,1.24,1.25,2.57,1.27,1.26,2.5,1.24,1.24,1.24,1.23,1.24,1.24,1.24,1.24,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0d99bbd7ff88bf33a31a57a7798e624e,0,Sun,D,WAS11,19.0,10,1,1,Atlanta Braves,NL,NL,3.0,3.0,1.3799999999999994,2.57,86.2318840579711,157,2023-04-02,-148,-161,6714,13.216535433070867,0.48031496062992124,1342,-800,508
10,Baltimore Orioles,2.25,2.2,2.29,2.3,2.22,2.25,2.25,2.3,2.36,2.22,2.29,2.2,2.3,2.25,2.2,2.22,2.2,2.31,2.28,2.25,2.25,2.3,2.3,2.3,2.28,2.25,2.3,2.3,2.28,2.3,2.22,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5d5bdbee4220f662c345eaf1b3ab8fb4,0,Sun,D,BOS07,0.0,10,0,0,Boston Red Sox,AL,AL,3.0,3.0,2.2625,2.36,4.309392265193374,-100,2023-04-02,-148,-261,6714,13.216535433070867,0.48031496062992124,1342,-800,508
