team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Houston Astros,1.77,1.77,1.85,1.72,1.89,1.6,1.82,1.71,1.79,1.66,2.18,2.2,2.2,2.15,2.2,2.2,2.18,1.88,1.9,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0be8e190246101a1195d7953fcfff566,2023-04-02 12:20:00,Houston Astros,Chicago White Sox,0,Sun,AL,4.0,AL,4.0,D,HOU03,Chicago White Sox,69.0,2023-04-02 12:19:00,11,0.0,1,Chicago White Sox,AL,AL,4.0,4.0,2.15,1.9328571428571424,11.234294161123444,-100.0,2023-04-02,-100.0,-100.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Draftkings']
Los Angeles Dodgers,2.05,2.3,2.1,2.25,1.0,2.39,2.25,2.4,2.38,2.38,2.43,2.43,2.35,2.43,2.38,2.43,2.43,1.15,2.25,1.45,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d512ddbba5bef1040b24e094a907672d,2023-04-03 20:40:00,Los Angeles Dodgers,Colorado Rockies,0,Mon,NL,5.0,NL,5.0,N,LOS03,Los Angeles Dodgers,90.0,2023-04-03 20:40:00,19,1.0,1,Colorado Rockies,NL,NL,5.0,5.0,2.43,2.186818181818182,11.120349199750583,143.0,2023-04-03,143.0,43.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Draftkings']
Houston Astros,2.95,2.45,2.05,2.75,2.4,2.8,2.9,2.51,2.75,2.12,2.14,2.12,2.14,2.14,2.14,2.1,2.14,2.72,2.18,1.34,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79d43aa1bd47e74352027de5ff64cc46,2023-04-04 19:05:00,Houston Astros,Detroit Tigers,0,Tue,AL,5.0,AL,6.0,N,HOU03,Detroit Tigers,115.0,2023-04-04 19:05:00,17,0.0,1,Detroit Tigers,AL,AL,6.0,5.0,2.95,2.394090909090909,23.22004936396428,-100.0,2023-04-04,-100.0,-57.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Barstool']
Cleveland Guardians,1.74,1.8,1.77,1.69,2.0,1.62,1.66,1.79,1.77,1.67,1.68,1.68,1.65,1.68,1.67,1.68,1.68,1.8,1.95,1.64,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a39fb73e58c3157a9340591877239781,2023-04-05 13:40:00,Oakland Athletics,Cleveland Guardians,0,Wed,AL,7.0,AL,6.0,N,OAK01,Cleveland Guardians,62.0,2023-04-05 13:39:00,12,1.0,0,Oakland Athletics,AL,AL,7.0,6.0,2.0,1.7395454545454545,14.972563365560504,100.0,2023-04-05,100.0,43.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Betmgm']
Toronto Blue Jays,1.87,1.9,1.87,1.83,2.21,1.96,1.95,2.0,1.87,1.97,1.97,1.93,1.97,1.95,1.97,1.97,1.96,2.1,2.11,2.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d07e5eaad3cc5150016c78c6d7d13c9a,2023-04-11 17:15:00,Toronto Blue Jays,Detroit Tigers,0,Tue,AL,10.0,AL,11.0,N,TOR02,Toronto Blue Jays,67.0,2023-04-11 17:14:00,16,1.0,1,Detroit Tigers,AL,AL,11.0,10.0,2.21,1.9509090909090907,13.280521901211555,121.0,2023-04-11,341.0,164.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Betmgm']
Texas Rangers,2.45,2.1,2.05,2.15,2.09,2.5,2.52,2.3,1.44,2.15,2.17,2.12,2.17,2.17,2.14,2.17,2.17,1.02,1.15,1.18,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3fbe0b6842d5039c449389bef587d5a6,2023-04-11 19:30:00,Texas Rangers,Kansas City Royals,0,Tue,AL,12.0,AL,11.0,N,ARL03,Texas Rangers,144.0,2023-04-11 19:29:00,17,1.0,1,Kansas City Royals,AL,AL,11.0,12.0,2.45,2.055,19.22141119221412,145.0,2023-04-11,341.0,309.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Barstool']
Minnesota Twins,1.57,1.4,1.44,1.38,1.75,1.53,1.55,1.48,1.5,1.36,1.36,1.38,1.34,1.36,1.36,1.36,1.36,1.46,1.52,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0dc9f8a28d1f8f4353ac98642a89ae36,2023-04-11 18:50:00,Minnesota Twins,Chicago White Sox,0,Tue,AL,12.0,AL,11.0,N,MIN04,Minnesota Twins,129.0,2023-04-11 18:49:00,16,1.0,1,Chicago White Sox,AL,AL,11.0,12.0,1.75,1.4638095238095237,19.551073519843868,75.0,2023-04-11,341.0,384.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Betmgm']
Minnesota Twins,1.34,1.29,1.37,1.36,1.62,1.36,1.33,1.37,1.33,1.33,1.38,1.38,1.38,1.36,1.38,1.38,1.38,1.38,1.4,1.34,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cb18af2189532bf5fa3b922d535428bc,2023-04-12 11:20:00,Minnesota Twins,Chicago White Sox,0,Wed,AL,13.0,AL,12.0,N,MIN04,Minnesota Twins,70.0,2023-04-12 11:20:00,10,1.0,1,Chicago White Sox,AL,AL,12.0,13.0,1.62,1.3863636363636358,16.852459016393478,62.0,2023-04-12,124.0,446.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Betmgm']
Minnesota Twins,1.43,1.36,1.4,1.57,1.62,1.7,1.44,1.47,1.38,1.4,1.47,1.47,1.47,1.44,1.47,1.47,1.47,1.47,1.47,1.34,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cb18af2189532bf5fa3b922d535428bc,2023-04-12 11:15:00,Minnesota Twins,Chicago White Sox,0,Wed,AL,13.0,AL,12.0,N,MIN04,Minnesota Twins,64.0,2023-04-12 11:14:00,10,1.0,1,Chicago White Sox,AL,AL,12.0,13.0,1.62,1.4686363636363635,10.306406685236771,62.0,2023-04-12,124.0,508.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Betmgm']
St. Louis Cardinals,1.77,1.75,1.0,1.52,2.4,1.72,1.73,2.15,1.5,1.54,1.73,1.54,1.78,1.79,1.79,1.79,1.79,1.79,1.79,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549d3b981322871ccbe3db7c70486054,2023-04-13 18:10:00,St. Louis Cardinals,Pittsburgh Pirates,0,Thu,NL,13.0,NL,13.0,N,STL10,Pittsburgh Pirates,85.0,2023-04-13 18:10:00,16,0.0,1,Pittsburgh Pirates,NL,NL,13.0,13.0,2.4,1.763333333333333,36.10586011342157,-100.0,2023-04-13,-100.0,408.0,1284.0,15.851851851851851,0.48148148148148145,429.0,-400.0,81.0,15.9,['Betmgm']
