,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,number_of_game_today,day_of_week,day_night,park_id,minutes_since_commence,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,average_market_odds,highest_bettable_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,Washington Nationals,,24.0,1.06,0.0,34.0,0.0,0.0,0.0,0.0,16.0,0.0,14.81,0.0,15.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,0.0,0.0,97d9e86b68d5033f37c6a6030efcf641,0,Thu,D,WAS11,175.0,10,0,1,Atlanta Braves,NL,NL,1.0,1.0,12.685000000000002,34.0,168.0331099724083,-100,2023-03-30,-190,-100,4580,8.372943327239488,0.3583180987202925,1774,-800,547
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Detroit Tigers,14.0,13.0,15.0,3.3,16.5,17.5,17.0,10.0,23.0,16.0,13.0,13.0,5.97,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53e0cd370c0af094e354e4b64cf6ada1,0,Thu,D,STP01,94.0,12,0,0,Tampa Bay Rays,AL,AL,1.0,1.0,13.805,23.0,66.60630206446936,-100,2023-03-30,-190,-200,4580,8.372943327239488,0.3583180987202925,1774,-800,547
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,295,Tampa Bay Rays,1.32,1.0,1.01,1.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53e0cd370c0af094e354e4b64cf6ada1,0,Thu,D,STP01,125.0,12,1,1,Detroit Tigers,AL,AL,1.0,1.0,1.0566666666666666,1.32,24.92113564668769,32,2023-03-30,-190,-168,4580,8.372943327239488,0.3583180987202925,1774,-800,547
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,Philadelphia Phillies,,15.5,14.0,0.0,15.5,0.0,0.0,0.0,0.0,15.0,0.0,16.0,0.0,0.0,15.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,13.0,6.95,15.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,c242048b2420a0eb53fe951109099db2,0,Thu,D,ARL03,129.0,13,0,0,Texas Rangers,NL,AL,1.0,1.0,11.429230769230768,16.0,39.99192354287253,-100,2023-03-30,-190,-268,4580,8.372943327239488,0.3583180987202925,1774,-800,547
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,294,Oakland Athletics,2.15,2.15,2.16,2.15,2.78,2.7,2.5,2.75,2.7,2.04,2.02,2.04,2.06,2.08,2.07,2.07,2.3,2.85,2.07,2.35,2.2,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12bb4f27b059b0b926b52f20d9574914,0,Thu,N,OAK01,52.0,19,1,1,Los Angeles Angels,AL,AL,1.0,1.0,2.288181818181818,2.78,21.493841875248314,178,2023-03-30,-190,-90,4580,8.372943327239488,0.3583180987202925,1774,-800,547
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,Cleveland Guardians,2.8,2.5,1.99,2.48,2.5,2.74,2.88,2.15,2.75,2.7,2.75,2.75,2.8,2.8,2.8,3.15,2.85,2.8,2.75,2.48,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671e5fd42a321195af770e20bb6c093e,0,Thu,N,SEA03,120.0,19,0,0,Seattle Mariners,AL,AL,1.0,1.0,2.6652380952380943,3.15,18.188315168840504,-100,2023-03-30,-190,-190,4580,8.372943327239488,0.3583180987202925,1774,-800,547
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,297,San Diego Padres,11.5,10.5,10.5,0.0,8.0,0.0,0.0,0.0,0.0,10.0,11.5,10.25,0.0,9.5,11.8,5.5,0.0,0.0,0.0,0.0,0.0,9.0,1.5,0.0,0.0,11.0,6.45,11.5,0.0,9.5,0.0,11.5,0.0,11.5,9.5,11.5,0.0,0.0,0.0,7cdf5f141c30be44e268ef5bc97097ae,0,Fri,N,SAN02,90.0,18,0,1,Colorado Rockies,NL,NL,2.0,2.0,9.6,11.8,22.916666666666657,-100,2023-03-31,-100,-290,4580,8.372943327239488,0.3583180987202925,1774,-800,547
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,298,Houston Astros,1.14,,1.16,0.0,1.22,0.0,0.0,0.0,0.0,1.15,1.14,0.0,0.0,1.16,1.15,1.55,0.0,0.0,0.0,0.0,0.0,1.13,1.5,0.0,0.0,1.14,1.51,1.18,0.0,1.14,0.0,1.14,0.0,1.14,1.14,1.14,0.0,0.0,0.0,7c242376f3d90f53fe7928386bf44971,0,Sat,D,HOU03,154.0,11,1,1,Chicago White Sox,AL,AL,3.0,3.0,1.2127777777777782,1.55,27.80577187356845,55,2023-04-01,0,-235,4580,8.372943327239488,0.3583180987202925,1774,-800,547
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,299,Houston Astros,1.56,1.47,1.75,0.0,1.48,0.0,0.0,0.0,0.0,1.5,1.56,1.68,0.0,1.53,1.53,1.65,0.0,0.0,0.0,0.0,0.0,1.54,1.5,0.0,0.0,1.5,1.69,1.48,0.0,1.83,0.0,1.83,0.0,1.56,1.56,1.56,0.0,0.0,0.0,7c242376f3d90f53fe7928386bf44971,0,Sat,D,HOU03,135.0,11,1,1,Chicago White Sox,AL,AL,3.0,3.0,1.5879999999999996,1.83,15.239294710327483,83,2023-04-01,0,-152,4580,8.372943327239488,0.3583180987202925,1774,-800,547
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,Philadelphia Phillies,16.5,11.0,15.0,23.48,15.2,15.0,13.0,20.0,14.0,17.0,1.01,1.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08587b17664cc03b26480f672e09b10a,0,Sat,D,ARL03,135.0,13,0,0,Texas Rangers,NL,AL,2.0,2.0,13.76846153846154,23.48,70.53466674115872,-100,2023-04-01,0,-252,4580,8.372943327239488,0.3583180987202925,1774,-800,547
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,Detroit Tigers,3.7,3.3,3.4,4.09,3.3,3.3,3.8,4.04,3.95,4.1,4.1,3.9,4.1,3.95,4.1,4.1,4.0,2.5,3.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71ee03890fab3ac7d4f27d5378a7abcf,0,Sat,D,STP01,34.0,13,0,0,Tampa Bay Rays,AL,AL,2.0,2.0,3.724000000000001,4.1,10.09667024704612,-100,2023-04-01,0,-352,4580,8.372943327239488,0.3583180987202925,1774,-800,547
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,302,Tampa Bay Rays,1.0,1.0,1.01,1.01,1.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71ee03890fab3ac7d4f27d5378a7abcf,0,Sat,D,STP01,68.0,13,1,1,Detroit Tigers,AL,AL,2.0,2.0,1.0933333333333333,1.54,40.85365853658537,54,2023-04-01,0,-298,4580,8.372943327239488,0.3583180987202925,1774,-800,547
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,300,Tampa Bay Rays,1.0,1.0,1.01,1.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71ee03890fab3ac7d4f27d5378a7abcf,0,Sat,D,STP01,79.0,13,1,1,Detroit Tigers,AL,AL,2.0,2.0,1.11,1.54,38.73873873873875,54,2023-04-01,0,-244,4580,8.372943327239488,0.3583180987202925,1774,-800,547
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,301,Tampa Bay Rays,1.0,1.0,1.01,1.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71ee03890fab3ac7d4f27d5378a7abcf,0,Sat,D,STP01,74.0,13,1,1,Detroit Tigers,AL,AL,2.0,2.0,1.11,1.54,38.73873873873875,54,2023-04-01,0,-190,4580,8.372943327239488,0.3583180987202925,1774,-800,547
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3,Colorado Rockies,8.0,7.25,6.6,0.0,8.0,0.0,0.0,0.0,0.0,6.5,8.0,7.27,0.0,8.0,7.4,5.0,0.0,0.0,0.0,0.0,0.0,7.0,4.4,0.0,0.0,7.0,3.3,6.0,0.0,7.0,0.0,8.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,4f7f9bf4d899d20a02ec8128255a10dd,0,Sat,D,SAN02,109.0,17,0,0,San Diego Padres,NL,NL,3.0,3.0,6.886000000000001,8.0,16.17775196049955,-100,2023-04-01,0,-290,4580,8.372943327239488,0.3583180987202925,1774,-800,547
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,Detroit Tigers,,24.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140eec53d0f71391600e8d71ed3c2e04,0,Sun,D,STP01,119.0,10,0,0,Tampa Bay Rays,AL,AL,3.0,3.0,28.67,61.0,112.76595744680849,-100,2023-04-02,-350,-390,4580,8.372943327239488,0.3583180987202925,1774,-800,547
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,306,Washington Nationals,1.14,1.16,1.2,1.14,1.12,1.11,1.12,1.13,1.16,1.15,1.15,2.5,1.14,1.14,1.14,1.13,1.14,1.14,1.14,1.14,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0d99bbd7ff88bf33a31a57a7798e624e,0,Sun,D,WAS11,39.0,10,1,1,Atlanta Braves,NL,NL,3.0,3.0,1.2085714285714289,2.5,106.85579196217492,150,2023-04-02,-350,-240,4580,8.372943327239488,0.3583180987202925,1774,-800,547
