,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,number_of_game_today,day_of_week,day_night,park_id,minutes_since_commence,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,average_market_odds,highest_bettable_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,Washington Nationals,10.0,8.5,8.5,9.8,10.5,8.0,7.0,9.5,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,9.45,12.0,9.5,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97d9e86b68d5033f37c6a6030efcf641,0,Thu,D,WAS11,89.0,10,0,1,Atlanta Braves,NL,NL,1.0,1.0,9.925,12.0,20.90680100755668,-100,2023-03-30,530,-100,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,221,Boston Red Sox,9.5,13.0,13.0,14.6,8.0,1.04,6.0,9.0,8.0,13.0,13.0,13.0,16.0,16.0,16.0,6.88,16.0,8.5,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f2912049aeca157ded4e77586ad96b6f,0,Thu,D,BOS07,129.0,11,0,1,Baltimore Orioles,AL,AL,1.0,1.0,11.232631578947368,16.0,42.44213288351608,-100,2023-03-30,530,-200,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,224,Texas Rangers,6.0,6.0,6.5,1.72,6.3,6.0,6.4,3.05,5.25,5.75,1.94,1.93,1.94,1.95,1.96,1.96,1.96,1.7,1.71,1.96,6.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c242048b2420a0eb53fe951109099db2,0,Thu,D,ARL03,39.0,13,1,1,Philadelphia Phillies,AL,NL,1.0,1.0,3.689999999999999,6.4,73.44173441734425,540,2023-03-30,530,340,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,222,Houston Astros,6.75,9.5,6.8,0.0,7.5,0.0,0.0,0.0,0.0,10.0,6.75,8.88,0.0,7.0,7.6,7.5,0.0,0.0,0.0,0.0,0.0,6.0,1.69,0.0,0.0,7.5,1.94,6.5,0.0,6.25,0.0,6.75,0.0,6.1,6.1,6.75,0.0,0.0,0.0,7de9dad87118ee281e48da1d8d6ed181,0,Thu,N,HOU03,157.0,16,0,1,Chicago White Sox,AL,AL,1.0,1.0,6.693,10.0,49.40983116689081,-100,2023-03-30,530,240,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,223,Oakland Athletics,3.75,3.7,3.7,3.4,3.3,3.6,3.55,2.75,3.9,3.55,3.55,3.55,3.6,3.7,3.7,3.7,3.34,3.7,2.9,3.88,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12bb4f27b059b0b926b52f20d9574914,0,Thu,N,OAK01,87.0,19,1,1,Los Angeles Angels,AL,AL,1.0,1.0,3.5390476190476194,3.9,10.199138858988135,290,2023-03-30,530,530,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,226,Seattle Mariners,,14.0,22.0,0.0,10.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,12.0,16.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.62,11.5,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,db7d886360e87493ff57669cff37880a,0,Fri,N,SEA03,139.0,19,0,1,Cleveland Guardians,AL,AL,2.0,2.0,13.26,16.5,24.43438914027149,-100,2023-03-31,-100,430,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,Chicago White Sox,3.15,3.3,2.82,0.0,3.1,0.0,0.0,0.0,0.0,3.1,3.1,0.0,0.0,3.2,3.2,3.6,0.0,0.0,0.0,0.0,0.0,3.0,2.09,0.0,0.0,3.1,3.28,3.3,0.0,3.05,0.0,3.15,0.0,3.1,3.0,3.1,0.0,0.0,0.0,7c242376f3d90f53fe7928386bf44971,0,Sat,D,HOU03,49.0,11,0,0,Houston Astros,AL,AL,3.0,3.0,3.0915789473684208,3.6,16.445352400408595,-100,2023-04-01,275,330,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,3,Philadelphia Phillies,3.15,3.2,3.1,3.65,2.84,2.88,2.8,3.2,3.35,3.4,3.4,3.4,3.25,3.4,3.3,3.4,3.1,3.45,1.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08587b17664cc03b26480f672e09b10a,0,Sat,D,ARL03,39.0,13,0,0,Texas Rangers,NL,AL,2.0,2.0,3.1684999999999994,3.65,15.196465204355375,-100,2023-04-01,275,230,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,229,Washington Nationals,,18.0,1.01,0.0,23.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,21.0,13.9,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d0f8681d37c0b15f4af1ad11ab10dbf8,0,Sat,D,WAS11,90.0,13,0,1,Atlanta Braves,NL,NL,2.0,2.0,15.102222222222224,23.0,52.2954679223072,-100,2023-04-01,275,130,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,9,7,10,8,2,Philadelphia Phillies,6.3,7.5,3.8,7.0,2.6,7.1,6.5,7.0,7.25,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,3.6,5.1,1.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08587b17664cc03b26480f672e09b10a,0,Sat,D,ARL03,58.0,13,0,0,Texas Rangers,NL,AL,2.0,2.0,6.740476190476191,9.0,33.52172377251851,-100,2023-04-01,275,30,5357,15.047752808988765,0.16573033707865167,5995,-1600,356
