,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,number_of_game_today,day_of_week,day_night,park_id,minutes_since_commence,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,average_market_odds,highest_bettable_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baltimore Orioles,1.12,1.07,1.08,2.01,1.08,1.12,1.09,1.18,1.09,1.11,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.1,1.09,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f2912049aeca157ded4e77586ad96b6f,0,Thu,D,BOS07,99.0,11,1,0,Boston Red Sox,AL,AL,1.0,1.0,1.1414285714285717,2.01,76.09511889862324,101,2023-03-30,74,101,11501,26.07936507936508,0.5215419501133787,3200,-788,441
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,244,Tampa Bay Rays,1.32,1.0,1.01,1.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53e0cd370c0af094e354e4b64cf6ada1,0,Thu,D,STP01,139.0,12,1,1,Detroit Tigers,AL,AL,1.0,1.0,1.0566666666666666,1.32,24.92113564668769,32,2023-03-30,74,133,11501,26.07936507936508,0.5215419501133787,3200,-788,441
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,245,Texas Rangers,1.02,1.06,1.06,0.0,1.04,0.0,0.0,0.0,0.0,1.05,1.02,1.41,0.0,1.06,1.07,1.07,0.0,0.0,0.0,0.0,0.0,1.02,1.72,0.0,0.0,1.06,1.41,1.06,0.0,1.02,0.0,1.02,0.0,1.02,1.02,1.02,0.0,0.0,0.0,c242048b2420a0eb53fe951109099db2,0,Thu,D,ARL03,109.0,13,1,1,Philadelphia Phillies,AL,NL,1.0,1.0,1.1115,1.41,26.85560053981107,41,2023-03-30,74,174,11501,26.07936507936508,0.5215419501133787,3200,-788,441
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,Los Angeles Angels,2.35,2.25,2.82,2.3,2.8,1.36,2.35,1.46,1.91,2.43,2.4,2.43,2.45,2.48,2.48,2.48,3.04,2.48,1.87,1.38,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12bb4f27b059b0b926b52f20d9574914,0,Thu,N,OAK01,133.0,19,0,0,Oakland Athletics,AL,AL,1.0,1.0,2.2747619047619043,2.8,23.089805317144663,-100,2023-03-30,74,74,11501,26.07936507936508,0.5215419501133787,3200,-788,441
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,246,Houston Astros,1.91,2.15,1.01,0.0,2.0,0.0,0.0,0.0,0.0,2.05,1.91,2.07,0.0,2.0,2.22,2.05,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,2.25,2.02,2.1,0.0,1.97,0.0,1.91,0.0,1.91,1.88,1.91,0.0,0.0,0.0,f966cfcbe459a1a6b4ea49dc65ed5f25,0,Fri,N,HOU03,74.0,17,1,1,Chicago White Sox,AL,AL,2.0,2.0,1.957368421052632,2.22,13.417585372411956,122,2023-03-31,122,196,11501,26.07936507936508,0.5215419501133787,3200,-788,441
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,247,San Diego Padres,1.16,1.27,1.23,0.0,1.27,0.0,0.0,0.0,0.0,1.24,1.16,1.17,0.0,1.23,1.17,1.15,0.0,0.0,0.0,0.0,0.0,1.15,1.41,0.0,0.0,1.18,1.16,1.22,0.0,1.16,0.0,1.16,0.0,1.16,1.16,1.16,1.42,0.0,0.0,4f7f9bf4d899d20a02ec8128255a10dd,0,Sat,D,SAN02,28.0,17,1,1,Colorado Rockies,NL,NL,3.0,3.0,1.2090476190476191,1.42,17.44781410003938,42,2023-04-01,42,238,11501,26.07936507936508,0.5215419501133787,3200,-788,441
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,Atlanta Braves,3.8,3.5,5.25,3.65,4.5,4.0,3.8,4.1,5.88,3.6,1.54,3.6,5.25,3.75,3.55,3.75,3.75,3.6,3.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0d99bbd7ff88bf33a31a57a7798e624e,0,Sun,D,WAS11,55.0,10,0,0,Washington Nationals,NL,NL,3.0,3.0,3.931,5.88,49.58025947596032,-100,2023-04-02,-129,138,11501,26.07936507936508,0.5215419501133787,3200,-788,441
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,248,San Diego Padres,1.04,1.04,1.04,1.04,1.03,1.03,1.01,1.03,1.02,1.02,1.01,1.01,1.06,1.46,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bee5c272e86a6240fdbd4a121fa9408a,0,Sun,D,SAN02,110.0,13,1,1,Colorado Rockies,NL,NL,4.0,4.0,1.058,1.46,37.9962192816635,46,2023-04-02,-129,184,11501,26.07936507936508,0.5215419501133787,3200,-788,441
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,249,San Diego Padres,1.06,1.06,1.06,1.25,1.05,1.05,1.04,1.06,1.05,1.04,1.02,1.02,1.02,1.01,1.02,1.02,1.02,1.02,1.09,1.46,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bee5c272e86a6240fdbd4a121fa9408a,0,Sun,D,SAN02,50.0,13,1,1,Colorado Rockies,NL,NL,4.0,4.0,1.0699999999999998,1.25,16.82242990654207,25,2023-04-02,-129,209,11501,26.07936507936508,0.5215419501133787,3200,-788,441
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,250,Seattle Mariners,3.2,3.3,3.05,3.1,3.2,3.1,1.87,3.1,3.0,3.25,3.35,3.35,3.2,3.35,3.35,3.2,3.35,1.01,1.88,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0542d6918ed26724e05e70bebcf048eb,0,Sun,D,SEA03,36.0,13,0,1,Cleveland Guardians,AL,AL,4.0,4.0,2.9730000000000008,3.35,12.68079381096534,-100,2023-04-02,-129,109,11501,26.07936507936508,0.5215419501133787,3200,-788,441
