team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Chicago White Sox,5.5,6.5,1.01,0.0,6.0,0.0,0.0,0.0,0.0,6.0,5.5,4.93,0.0,4.8,4.6,4.33,0.0,0.0,0.0,0.0,0.0,5.0,2.18,0.0,0.0,4.5,2.76,1.0,0.0,5.2,0.0,5.5,0.0,5.1,5.1,5.5,0.0,0.0,0.0,7de9dad87118ee281e48da1d8d6ed181,2023-03-30 18:15:00,Houston Astros,Chicago White Sox,0,Thu,AL,1.0,AL,1.0,N,HOU03,Chicago White Sox,127.0,2023-03-30 18:15:00,16,1,0,Houston Astros,AL,AL,1.0,1.0,5.5,4.595714285714284,19.67671743860744,450.0,2023-03-30,982.0,450.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Barstool']
Tampa Bay Rays,1.32,1.0,1.08,1.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53e0cd370c0af094e354e4b64cf6ada1,2023-03-30 14:25:00,Tampa Bay Rays,Detroit Tigers,0,Thu,AL,1.0,AL,1.0,D,STP01,Tampa Bay Rays,135.0,2023-03-30 14:25:00,12,1,1,Detroit Tigers,AL,AL,1.0,1.0,1.32,1.1042857142857143,19.53428201811125,32.0,2023-03-30,982.0,482.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Barstool']
Texas Rangers,6.0,6.0,6.5,1.72,6.3,6.0,6.4,3.05,5.25,5.75,1.94,1.93,1.94,1.95,1.96,1.96,1.96,1.7,1.71,1.96,6.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c242048b2420a0eb53fe951109099db2,2023-03-30 13:45:00,Texas Rangers,Philadelphia Phillies,0,Thu,NL,1.0,AL,1.0,D,ARL03,Texas Rangers,39.0,2023-03-30 13:44:00,13,1,1,Philadelphia Phillies,AL,NL,1.0,1.0,6.0,3.790434782608695,58.29318651066762,500.0,2023-03-30,982.0,982.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Barstool']
Colorado Rockies,1.71,1.9,2.6,2.7,2.7,2.77,2.77,1.83,2.74,2.65,1.0,1.74,1.73,2.7,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.75,2.75,1.87,2.7,1.9,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7cdf5f141c30be44e268ef5bc97097ae,2023-03-31 18:55:00,San Diego Padres,Colorado Rockies,0,Fri,NL,2.0,NL,2.0,N,SAN02,Colorado Rockies,15.0,2023-03-31 18:55:00,18,1,0,San Diego Padres,NL,NL,2.0,2.0,2.7,2.1593103448275865,25.039923347173406,170.0,2023-03-31,170.0,1152.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Draftkings']
Boston Red Sox,5.0,4.3,4.7,4.33,4.4,4.65,4.5,4.9,4.6,4.7,5.0,4.8,4.5,4.8,4.5,4.8,4.8,4.49,1.01,1.65,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290363d40b65863d49a4de949cd89d93,2023-04-01 15:05:00,Boston Red Sox,Baltimore Orioles,0,Sat,AL,2.0,AL,2.0,D,BOS07,Boston Red Sox,115.0,2023-04-01 15:05:00,13,1,1,Baltimore Orioles,AL,AL,2.0,2.0,5.0,4.352727272727273,14.87050960735172,400.0,2023-04-01,485.0,1552.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Barstool']
Boston Red Sox,2.85,2.45,1.69,1.69,1.67,2.2,1.62,1.68,1.56,2.8,1.68,2.8,2.82,1.65,1.67,1.67,1.69,2.55,1.65,1.64,2.55,2.6,2.6,2.55,2.63,2.6,2.63,2.63,1.58,2.32,1.65,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290363d40b65863d49a4de949cd89d93,2023-04-01 13:20:00,Boston Red Sox,Baltimore Orioles,0,Sat,AL,2.0,AL,2.0,D,BOS07,Boston Red Sox,9.0,2023-04-01 13:19:00,13,1,1,Baltimore Orioles,AL,AL,2.0,2.0,2.85,2.1848484848484846,30.44382801664357,185.0,2023-04-01,485.0,1737.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Barstool']
Detroit Tigers,3.05,2.75,2.88,3.3,3.95,3.5,3.4,2.6,3.7,3.47,4.1,4.2,4.2,3.95,4.2,4.0,4.2,4.2,3.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71ee03890fab3ac7d4f27d5378a7abcf,2023-04-01 13:30:00,Tampa Bay Rays,Detroit Tigers,0,Sat,AL,2.0,AL,2.0,D,STP01,Tampa Bay Rays,20.0,2023-04-01 13:30:00,13,0,0,Tampa Bay Rays,AL,AL,2.0,2.0,4.2,3.606818181818183,16.446124763705072,-100.0,2023-04-01,485.0,1637.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Fanduel']
San Diego Padres,1.03,1.03,1.06,1.03,1.03,1.03,1.02,1.03,1.02,1.01,1.01,1.01,1.05,1.46,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bee5c272e86a6240fdbd4a121fa9408a,2023-04-02 14:30:00,San Diego Padres,Colorado Rockies,0,Sun,NL,4.0,NL,4.0,D,SAN02,San Diego Padres,79.0,2023-04-02 14:29:00,13,1,1,Colorado Rockies,NL,NL,4.0,4.0,1.46,1.081875,34.950895436164075,46.0,2023-04-02,-254.0,1683.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Draftkings']
Colorado Rockies,3.2,2.77,3.0,2.77,2.75,2.7,2.8,2.7,3.1,2.76,2.7,2.8,3.0,2.62,2.76,2.85,3.1,2.7,3.05,2.75,2.95,2.95,2.95,2.9,2.95,2.95,2.95,2.95,2.8,3.05,2.73,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bee5c272e86a6240fdbd4a121fa9408a,2023-04-02 13:20:00,San Diego Padres,Colorado Rockies,0,Sun,NL,4.0,NL,4.0,D,SAN02,San Diego Padres,9.0,2023-04-02 13:19:00,13,0,0,San Diego Padres,NL,NL,4.0,4.0,3.2,2.866363636363637,11.63970821439895,-100.0,2023-04-02,-254.0,1583.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Barstool']
Philadelphia Phillies,2.85,3.2,1.01,0.0,2.75,0.0,0.0,0.0,0.0,3.1,2.85,2.79,0.0,2.95,2.88,2.15,0.0,0.0,0.0,0.0,0.0,2.75,2.05,0.0,0.0,2.8,2.05,2.85,0.0,2.8,0.0,2.85,0.0,2.85,2.8,2.85,0.0,0.0,0.0,11ceaf6e24f4c0d4467012906f4a649b,2023-04-02 17:35:00,Texas Rangers,Philadelphia Phillies,0,Sun,NL,3.0,AL,3.0,N,ARL03,Texas Rangers,87.0,2023-04-02 17:35:00,16,0,0,Texas Rangers,NL,AL,3.0,3.0,2.95,2.6728571428571426,10.368786745056134,-100.0,2023-04-02,-254.0,1483.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Draftkings']
Atlanta Braves,1.95,2.15,1.57,1.57,1.59,1.56,1.67,2.15,2.1,1.55,1.55,1.56,2.05,2.12,1.56,2.1,1.58,1.6,1.57,2.1,1.7,1.54,1.54,2.04,2.05,2.05,2.0,2.05,2.05,2.02,2.05,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0d99bbd7ff88bf33a31a57a7798e624e,2023-04-02 10:45:00,Washington Nationals,Atlanta Braves,0,Sun,NL,3.0,NL,3.0,D,WAS11,Washington Nationals,8.0,2023-04-02 10:43:00,10,0,0,Washington Nationals,NL,NL,3.0,3.0,2.12,1.8354545454545448,15.502724120851925,-100.0,2023-04-02,-254.0,1383.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Draftkings']
Cincinnati Reds,3.3,1.9,3.75,0.0,3.4,0.0,0.0,0.0,0.0,3.5,3.3,3.1,0.0,3.4,3.05,1.67,0.0,0.0,0.0,0.0,0.0,3.15,1.99,0.0,0.0,3.1,3.26,3.1,0.0,3.2,0.0,3.3,0.0,3.3,3.2,3.3,0.0,0.0,0.0,53a8ed671dd7c0e9a2b7aa394f971c15,2023-04-03 17:10:00,Cincinnati Reds,Chicago Cubs,0,Mon,NL,4.0,NL,4.0,N,LOS03,Cincinnati Reds,90.0,2023-04-03 17:10:00,15,1,1,Chicago Cubs,NL,NL,4.0,4.0,3.4,3.0795238095238098,10.406680068037716,240.0,2023-04-03,305.0,1623.0,3645.0,21.696428571428573,0.40476190476190477,982.0,-453.0,168.0,21.7,['Draftkings']
