team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Cleveland Guardians,3.25,3.35,2.5,3.2,3.1,2.38,2.42,3.1,3.15,3.15,3.0,3.15,3.05,3.15,3.15,1.43,3.05,2.6,1.63,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e27833876e06debacb58be778c286b98,2023-04-03 19:20:00,Oakland Athletics,Cleveland Guardians,0,Mon,AL,5.0,AL,4.0,N,OAK01,Cleveland Guardians,40.0,2023-04-03 19:20:00,18,1,0,Oakland Athletics,AL,AL,5.0,4.0,3.15,2.8495238095238093,10.544786096256686,215.0,2023-04-03,115.0,215.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,"['Draftkings', 'Fanduel']"
Seattle Mariners,3.75,1.87,1.7,1.74,1.9,4.0,3.9,3.8,1.95,1.87,1.0,3.6,3.7,3.7,3.5,3.7,3.55,3.7,3.7,1.71,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2454320a2a280dcd300e7d2288e4d66b,2023-04-03 19:55:00,Seattle Mariners,Los Angeles Angels,0,Mon,AL,4.0,AL,5.0,N,SEA03,Los Angeles Angels,74.0,2023-04-03 19:54:00,18,0,1,Los Angeles Angels,AL,AL,5.0,4.0,3.7,2.8968181818181824,27.72634552016315,-100.0,2023-04-03,115.0,115.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Washington Nationals,4.8,4.55,3.8,2.45,4.5,2.5,2.5,2.5,4.4,6.0,5.9,2.56,2.43,2.46,5.3,5.6,5.6,5.2,5.6,5.6,5.25,5.6,2.5,1.5,2.5,2.45,2.5,6.0,4.7,2.43,4.75,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e0d5f923424651e4835421d4c48db29,2023-04-04 16:15:00,Washington Nationals,Tampa Bay Rays,0,Tue,AL,5.0,NL,5.0,N,WAS11,Tampa Bay Rays,10.0,2023-04-04 16:15:00,16,0,1,Tampa Bay Rays,NL,AL,5.0,5.0,5.3,4.005454545454546,32.31956423059462,-100.0,2023-04-04,-100.0,15.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
Detroit Tigers,5.6,4.85,4.3,3.6,4.4,5.0,5.1,4.54,4.5,5.1,5.4,5.4,4.9,5.4,5.4,5.0,5.4,4.8,3.09,4.81,3.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b79f084720e300b5de3834cc14a709e,2023-04-05 11:50:00,Houston Astros,Detroit Tigers,0,Wed,AL,6.0,AL,7.0,N,HOU03,Houston Astros,39.0,2023-04-05 11:49:00,11,0,0,Houston Astros,AL,AL,6.0,7.0,5.4,4.786521739130436,12.816786265782524,-100.0,2023-04-05,-200.0,-85.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,"['Draftkings', 'Fanduel']"
Baltimore Orioles,7.25,6.5,7.5,4.33,7.8,7.5,2.59,2.7,5.97,7.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,7.5,6.75,5.9,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f65edc5c888b4cd6cef9b366249c4b6,2023-04-05 11:45:00,Texas Rangers,Baltimore Orioles,0,Wed,AL,6.0,AL,6.0,D,ARL03,Texas Rangers,40.0,2023-04-05 11:45:00,11,0,0,Texas Rangers,AL,AL,6.0,6.0,8.0,6.660434782608696,20.11227886937789,-100.0,2023-04-05,-200.0,-185.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,"['Draftkings', 'Fanduel']"
San Francisco Giants,8.0,7.0,1.01,0.0,7.25,0.0,0.0,0.0,0.0,6.0,8.0,6.15,0.0,7.25,9.7,2.88,0.0,0.0,0.0,0.0,0.0,7.0,4.2,0.0,0.0,8.5,4.45,6.5,0.0,7.5,0.0,8.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,a095ff8a091911a6865773eb0a554336,2023-04-12 20:45:00,San Francisco Giants,Los Angeles Dodgers,0,Wed,NL,13.0,NL,12.0,N,SFO03,Los Angeles Dodgers,120.0,2023-04-12 20:45:00,18,0,1,Los Angeles Dodgers,NL,NL,12.0,13.0,9.7,6.766190476190476,43.35984235343794,-100.0,2023-04-12,-100.0,-285.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
Milwaukee Brewers,2.3,2.3,1.05,0.0,2.0,0.0,0.0,0.0,0.0,2.05,2.3,2.05,0.0,2.0,2.54,1.1,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,2.5,1.16,1.87,0.0,2.28,0.0,2.3,0.0,2.3,2.25,2.3,0.0,0.0,0.0,698b733efeb10b5607f31723d81afce8,2023-04-13 21:00:00,San Diego Padres,Milwaukee Brewers,0,Thu,NL,13.0,NL,14.0,N,SAN02,Milwaukee Brewers,140.0,2023-04-13 21:00:00,18,1,0,San Diego Padres,NL,NL,13.0,14.0,2.54,2.071,22.64606470304204,154.0,2023-04-13,154.0,-131.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
Pittsburgh Pirates,3.65,3.3,2.05,4.0,4.2,4.1,3.75,2.05,4.1,4.1,4.3,4.3,4.1,4.3,4.1,4.3,4.3,2.8,4.1,3.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32ffb256e047d36cfbcefae8ab541e19,2023-04-15 11:30:00,St. Louis Cardinals,Pittsburgh Pirates,0,Sat,NL,15.0,NL,15.0,D,STL10,Pittsburgh Pirates,14.0,2023-04-15 11:28:00,11,1,0,St. Louis Cardinals,NL,NL,15.0,15.0,4.3,3.83181818181818,12.218268090154254,330.0,2023-04-15,530.0,199.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Kansas City Royals,7.5,6.75,5.4,0.0,6.25,0.0,0.0,0.0,0.0,6.0,7.5,5.79,0.0,6.75,7.8,5.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,6.0,6.84,6.0,0.0,6.75,0.0,7.5,0.0,7.5,6.5,7.5,0.0,0.0,0.0,fe371a4d4a229a9b11996e437dfad888,2023-04-15 17:45:00,Kansas City Royals,Atlanta Braves,0,Sat,NL,15.0,AL,15.0,D,KAN06,Atlanta Braves,119.0,2023-04-15 17:44:00,15,0,1,Atlanta Braves,AL,NL,15.0,15.0,7.8,6.6765,16.827679173219508,-100.0,2023-04-15,530.0,99.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
Los Angeles Dodgers,3.85,4.05,3.4,0.0,3.8,0.0,0.0,0.0,0.0,4.05,3.85,2.91,0.0,4.0,3.8,2.7,0.0,0.0,0.0,0.0,0.0,3.65,2.35,0.0,0.0,3.7,2.47,3.4,0.0,3.7,0.0,3.85,0.0,3.85,3.65,3.85,0.0,0.0,0.0,a2e12f511c993c53acb4fd3bb0f81fac,2023-04-15 20:20:00,Los Angeles Dodgers,Chicago Cubs,0,Sat,NL,14.0,NL,15.0,N,LOS03,Los Angeles Dodgers,130.0,2023-04-15 20:20:00,18,1,1,Chicago Cubs,NL,NL,15.0,14.0,4.0,3.5657142857142863,12.179487179487154,300.0,2023-04-15,530.0,399.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
