team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Los Angeles Angels,7.5,7.0,6.8,8.5,6.6,2.4,9.0,1.46,5.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,3.04,8.0,5.5,1.38,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12bb4f27b059b0b926b52f20d9574914,2023-03-30 21:25:00,Oakland Athletics,Los Angeles Angels,0,Thu,AL,1.0,AL,1.0,N,OAK01,Oakland Athletics,137.0,2023-03-30 21:24:00,19,0,0,Oakland Athletics,AL,AL,1.0,1.0,8.0,6.303636363636364,26.91087395442748,-100.0,2023-03-30,-400.0,-100.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Draftkings']
Washington Nationals,5.5,5.5,5.5,5.6,5.4,5.7,6.5,5.0,5.0,6.25,6.25,6.25,6.5,6.75,6.75,6.75,8.31,3.15,6.75,6.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97d9e86b68d5033f37c6a6030efcf641,2023-03-30 10:55:00,Washington Nationals,Atlanta Braves,0,Thu,NL,1.0,NL,1.0,D,WAS11,Atlanta Braves,50.0,2023-03-30 10:55:00,10,0,1,Atlanta Braves,NL,NL,1.0,1.0,6.75,5.990454545454546,12.679262463009309,-100.0,2023-03-30,-400.0,-200.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Draftkings']
Washington Nationals,6.2,6.0,6.0,6.2,6.25,6.2,5.25,5.0,6.0,6.4,6.25,6.4,6.5,7.0,7.0,7.0,7.08,7.0,5.5,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97d9e86b68d5033f37c6a6030efcf641,2023-03-30 12:10:00,Washington Nationals,Atlanta Braves,0,Thu,NL,1.0,NL,1.0,D,WAS11,Atlanta Braves,125.0,2023-03-30 12:10:00,10,0,1,Atlanta Braves,NL,NL,1.0,1.0,7.0,6.2714285714285705,11.617312072892958,-100.0,2023-03-30,-400.0,-300.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Draftkings']
Philadelphia Phillies,1.47,1.4,1.4,2.13,1.42,1.45,1.37,2.05,1.48,1.43,2.4,2.38,2.4,2.43,2.45,2.45,2.45,2.11,2.2,2.45,1.42,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c242048b2420a0eb53fe951109099db2,2023-03-30 13:35:00,Texas Rangers,Philadelphia Phillies,0,Thu,NL,1.0,AL,1.0,D,ARL03,Texas Rangers,30.0,2023-03-30 13:35:00,13,0,0,Texas Rangers,NL,AL,1.0,1.0,2.43,1.94,25.25773195876288,-100.0,2023-03-30,-400.0,-400.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Draftkings']
Houston Astros,6.1,4.35,2.4,0.0,3.7,0.0,0.0,0.0,0.0,4.05,4.0,2.07,0.0,4.3,3.9,2.2,0.0,0.0,0.0,0.0,0.0,3.8,1.7,0.0,0.0,4.0,2.09,1.0,0.0,5.6,0.0,6.1,0.0,4.0,3.8,4.0,0.0,0.0,0.0,f966cfcbe459a1a6b4ea49dc65ed5f25,2023-03-31 18:35:00,Houston Astros,Chicago White Sox,0,Fri,AL,2.0,AL,2.0,N,HOU03,Houston Astros,85.0,2023-03-31 18:35:00,17,1,1,Chicago White Sox,AL,AL,2.0,2.0,6.1,3.7742857142857145,61.619984859954585,510.0,2023-03-31,510.0,110.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Barstool']
Boston Red Sox,2.85,2.45,1.69,1.69,1.67,2.2,1.62,1.68,1.56,2.8,1.68,2.8,2.82,1.65,1.67,1.67,1.69,2.55,1.65,1.64,2.55,2.6,2.6,2.55,2.63,2.6,2.63,2.63,1.58,2.32,1.65,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290363d40b65863d49a4de949cd89d93,2023-04-01 13:20:00,Boston Red Sox,Baltimore Orioles,0,Sat,AL,2.0,AL,2.0,D,BOS07,Boston Red Sox,9.0,2023-04-01 13:19:00,13,1,1,Baltimore Orioles,AL,AL,2.0,2.0,2.85,2.1848484848484846,30.44382801664357,185.0,2023-04-01,185.0,295.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Barstool']
Oakland Athletics,2.3,2.05,1.95,2.1,2.15,2.12,2.15,2.23,2.3,2.4,2.2,2.18,2.2,2.7,2.6,2.7,2.7,2.63,2.7,2.26,2.28,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d9823834125a3085fcea949afb845853,2023-04-02 13:55:00,Oakland Athletics,Los Angeles Angels,0,Sun,AL,3.0,AL,3.0,D,OAK01,Los Angeles Angels,48.0,2023-04-02 13:54:00,13,0,1,Los Angeles Angels,AL,AL,3.0,3.0,2.7,2.336956521739131,15.53488372093021,-100.0,2023-04-02,-300.0,195.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Draftkings']
Philadelphia Phillies,4.3,2.8,1.01,0.0,3.8,0.0,0.0,0.0,0.0,2.75,4.3,2.91,0.0,4.1,2.88,2.7,0.0,0.0,0.0,0.0,0.0,4.2,2.05,0.0,0.0,2.8,2.84,3.8,0.0,4.3,0.0,4.3,0.0,4.3,4.3,4.3,0.0,0.0,0.0,11ceaf6e24f4c0d4467012906f4a649b,2023-04-02 18:00:00,Texas Rangers,Philadelphia Phillies,0,Sun,NL,3.0,AL,3.0,N,ARL03,Texas Rangers,112.0,2023-04-02 18:00:00,16,0,0,Texas Rangers,NL,AL,3.0,3.0,4.3,3.478095238095237,23.630887185104086,-100.0,2023-04-02,-300.0,95.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Barstool']
Atlanta Braves,1.95,2.15,1.57,1.57,1.59,1.56,1.67,2.15,2.1,1.55,1.55,1.56,2.05,2.12,1.56,2.1,1.58,1.6,1.57,2.1,1.7,1.54,1.54,2.04,2.05,2.05,2.0,2.05,2.05,2.02,2.05,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0d99bbd7ff88bf33a31a57a7798e624e,2023-04-02 10:45:00,Washington Nationals,Atlanta Braves,0,Sun,NL,3.0,NL,3.0,D,WAS11,Washington Nationals,8.0,2023-04-02 10:43:00,10,0,0,Washington Nationals,NL,NL,3.0,3.0,2.12,1.8354545454545448,15.502724120851925,-100.0,2023-04-02,-300.0,-5.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Draftkings']
Colorado Rockies,7.0,5.6,2.88,5.75,7.0,2.8,6.0,5.7,5.5,5.4,5.75,5.75,5.3,5.75,5.4,5.75,5.8,2.9,6.6,3.1,2.79,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d512ddbba5bef1040b24e094a907672d,2023-04-03 19:50:00,Los Angeles Dodgers,Colorado Rockies,0,Mon,NL,5.0,NL,5.0,N,LOS03,Los Angeles Dodgers,39.0,2023-04-03 19:49:00,19,0,0,Los Angeles Dodgers,NL,NL,5.0,5.0,5.75,5.2073913043478255,10.41997161225683,-100.0,2023-04-03,32.0,-105.0,5103.0,26.717277486910994,0.32460732984293195,2000.0,-700.0,191.0,26.7,['Draftkings']
