team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Boston Red Sox,3.7,3.5,3.75,3.3,3.6,3.12,3.7,3.5,3.9,4.0,4.25,4.25,3.95,4.25,4.0,4.25,4.25,4.21,1.01,1.65,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290363d40b65863d49a4de949cd89d93,2023-04-01 14:45:00,Boston Red Sox,Baltimore Orioles,0,Sat,AL,2.0,AL,2.0,D,BOS07,Boston Red Sox,93.0,2023-04-01 14:43:00,13,1,1,Baltimore Orioles,AL,AL,2.0,2.0,4.25,3.631363636363637,17.035924396044535,325.0,2023-04-01,325.0,325.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Houston Astros,1.77,1.77,1.85,1.72,1.89,1.6,1.82,1.71,1.79,1.66,2.18,2.2,2.2,2.15,2.2,2.2,2.18,1.88,1.9,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0be8e190246101a1195d7953fcfff566,2023-04-02 12:20:00,Houston Astros,Chicago White Sox,0,Sun,AL,4.0,AL,4.0,D,HOU03,Chicago White Sox,69.0,2023-04-02 12:19:00,11,0,1,Chicago White Sox,AL,AL,4.0,4.0,2.2,1.9352380952380952,13.681102362204731,-100.0,2023-04-02,-200.0,225.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Philadelphia Phillies,6.75,5.4,5.5,0.0,5.5,0.0,0.0,0.0,0.0,6.0,6.75,4.3,0.0,6.3,6.4,3.6,0.0,0.0,0.0,0.0,0.0,6.25,2.05,0.0,0.0,6.0,4.05,5.0,0.0,6.5,0.0,6.75,0.0,6.75,6.4,6.75,0.0,0.0,0.0,11ceaf6e24f4c0d4467012906f4a649b,2023-04-02 18:15:00,Texas Rangers,Philadelphia Phillies,0,Sun,NL,3.0,AL,3.0,N,ARL03,Texas Rangers,127.0,2023-04-02 18:15:00,16,0,0,Texas Rangers,NL,AL,3.0,3.0,6.4,5.685714285714286,12.562814070351749,-100.0,2023-04-02,-200.0,125.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Washington Nationals,4.7,4.35,4.33,4.0,2.5,4.25,5.0,5.0,2.56,4.6,4.9,4.9,4.5,4.9,4.9,4.6,4.9,3.1,2.5,5.0,4.7,2.43,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e0d5f923424651e4835421d4c48db29,2023-04-04 16:20:00,Washington Nationals,Tampa Bay Rays,0,Tue,AL,5.0,NL,5.0,N,WAS11,Tampa Bay Rays,13.0,2023-04-04 16:18:00,16,0,1,Tampa Bay Rays,NL,AL,5.0,5.0,4.9,4.234166666666667,15.725250934855367,-100.0,2023-04-04,-100.0,25.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,"['Draftkings', 'Fanduel']"
Boston Red Sox,1.91,1.95,1.26,0.0,2.05,0.0,0.0,0.0,0.0,2.4,1.91,2.87,0.0,3.2,2.44,1.8,0.0,0.0,0.0,0.0,0.0,1.87,1.69,0.0,0.0,2.38,2.25,2.2,0.0,1.89,0.0,1.91,0.0,2.28,2.25,1.91,0.0,0.0,0.0,6a27515b00a705dbd7b57bb94e89498a,2023-04-06 11:05:00,Detroit Tigers,Boston Red Sox,0,Thu,AL,7.0,AL,7.0,D,DET05,Boston Red Sox,54.0,2023-04-06 11:04:00,10,1,0,Detroit Tigers,AL,AL,7.0,7.0,3.2,2.1723809523809527,47.30381411661549,220.0,2023-04-06,220.0,245.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Houston Astros,3.95,4.15,4.0,0.0,3.7,0.0,0.0,0.0,0.0,3.85,3.95,2.36,0.0,4.3,4.0,2.1,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,4.0,2.31,3.8,0.0,3.8,0.0,3.95,0.0,3.95,3.75,3.95,0.0,0.0,0.0,c66ebf4fa62a6b53ccaefac35389cdbd,2023-04-08 12:50:00,Minnesota Twins,Houston Astros,0,Sat,AL,9.0,AL,8.0,D,MIN04,Minnesota Twins,96.0,2023-04-08 12:48:00,11,0,0,Minnesota Twins,AL,AL,9.0,8.0,4.3,3.6935,16.42073913632055,-100.0,2023-04-08,-126.0,145.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Pittsburgh Pirates,5.5,5.6,5.0,5.25,5.22,6.1,6.0,4.33,5.8,6.25,6.25,6.25,6.25,5.75,6.25,5.6,6.25,1.22,5.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f5dfc1e18834ee4cf71bdf2c105f0e7a,2023-04-08 17:05:00,Pittsburgh Pirates,Chicago White Sox,0,Sat,AL,9.0,NL,8.0,N,PIT08,Chicago White Sox,88.0,2023-04-08 17:04:00,15,0,1,Chicago White Sox,NL,AL,8.0,9.0,6.25,5.575714285714286,12.093261593645906,-100.0,2023-04-08,-126.0,45.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Boston Red Sox,1.01,1.03,1.03,1.02,1.03,1.03,1.01,1.03,1.04,1.01,1.23,1.27,1.01,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546308e91b05ead2ad6e6db88f94c286,2023-04-08 13:50:00,Detroit Tigers,Boston Red Sox,0,Sat,AL,8.0,AL,8.0,D,DET05,Boston Red Sox,38.0,2023-04-08 13:48:00,13,1,0,Detroit Tigers,AL,AL,8.0,8.0,1.74,1.1486666666666667,51.47997678467787,74.0,2023-04-08,-126.0,119.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Cincinnati Reds,6.5,1.0,5.6,2.5,6.0,5.9,5.75,2.7,6.0,6.25,5.06,6.75,6.75,6.75,6.0,6.1,6.75,6.25,6.75,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945ad27c3274d618b3e88e4e137499b6,2023-04-09 11:35:00,Philadelphia Phillies,Cincinnati Reds,0,Sun,NL,9.0,NL,9.0,D,PHI13,Cincinnati Reds,72.0,2023-04-09 11:33:00,10,1,0,Philadelphia Phillies,NL,NL,9.0,9.0,6.75,5.586190476190477,20.833688517602923,575.0,2023-04-09,475.0,694.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Oakland Athletics,5.6,6.0,3.75,0.0,5.25,0.0,0.0,0.0,0.0,5.25,5.6,5.33,0.0,6.3,5.6,4.5,0.0,0.0,0.0,0.0,0.0,5.1,3.53,0.0,0.0,5.5,5.16,5.5,0.0,5.2,0.0,5.6,0.0,5.6,5.2,5.6,0.0,0.0,0.0,ccc93b7e0f3d4be45c98d98078d867eb,2023-04-09 10:50:00,Tampa Bay Rays,Oakland Athletics,0,Sun,AL,9.0,AL,9.0,D,STP01,Tampa Bay Rays,40.0,2023-04-09 10:49:00,10,0,0,Tampa Bay Rays,AL,AL,9.0,9.0,6.3,5.3080952380952375,18.68664214586886,-100.0,2023-04-09,475.0,594.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
