team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Los Angeles Angels,1.36,1.3,1.3,1.33,1.54,1.55,1.35,1.46,1.29,1.34,1.32,1.34,1.34,1.34,1.34,1.34,1.66,1.47,1.34,1.27,1.52,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12bb4f27b059b0b926b52f20d9574914,2023-03-30 19:55:00,Oakland Athletics,Los Angeles Angels,0,Thu,AL,1.0,AL,1.0,N,OAK01,Oakland Athletics,48.0,2023-03-30 19:55:00,19,0,0,Oakland Athletics,AL,AL,1.0,1.0,1.55,1.3904347826086956,11.475922451532206,-100.0,2023-03-30,-200.0,-100.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Betonlineag']
Detroit Tigers,23.0,26.0,3.3,19.0,1.01,10.0,34.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53e0cd370c0af094e354e4b64cf6ada1,2023-03-30 14:05:00,Tampa Bay Rays,Detroit Tigers,0,Thu,AL,1.0,AL,1.0,D,STP01,Tampa Bay Rays,115.0,2023-03-30 14:05:00,12,0,0,Tampa Bay Rays,AL,AL,1.0,1.0,21.0,17.631,19.10838863365663,-100.0,2023-03-30,-200.0,-200.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Betway']
Cleveland Guardians,1.91,1.65,2.0,1.59,3.08,1.94,1.91,1.0,1.63,1.63,1.63,1.6,1.63,1.62,1.63,1.63,1.94,1.62,1.9,1.42,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,db7d886360e87493ff57669cff37880a,2023-03-31 19:40:00,Seattle Mariners,Cleveland Guardians,0,Fri,AL,2.0,AL,2.0,N,SEA03,Cleveland Guardians,29.0,2023-03-31 19:38:00,19,1,0,Seattle Mariners,AL,AL,2.0,2.0,3.08,1.835909090909091,67.7642980935875,208.0,2023-03-31,208.0,8.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Betmgm']
Baltimore Orioles,1.51,1.04,1.1,1.44,1.1,1.6,1.44,1.47,1.1,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.59,1.39,2.25,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290363d40b65863d49a4de949cd89d93,2023-04-01 14:05:00,Boston Red Sox,Baltimore Orioles,0,Sat,AL,2.0,AL,2.0,D,BOS07,Boston Red Sox,53.0,2023-04-01 14:03:00,13,0,0,Boston Red Sox,AL,AL,2.0,2.0,1.6,1.2813636363636365,24.866974104292314,-100.0,2023-04-01,-108.0,-92.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Betonlineag']
Baltimore Orioles,1.39,1.0,1.7,1.36,1.36,1.53,1.33,1.32,2.3,1.4,1.33,1.33,1.33,1.32,1.33,1.33,1.33,1.33,1.43,1.4,2.25,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290363d40b65863d49a4de949cd89d93,2023-04-01 13:30:00,Boston Red Sox,Baltimore Orioles,0,Sat,AL,2.0,AL,2.0,D,BOS07,Boston Red Sox,20.0,2023-04-01 13:30:00,13,0,0,Boston Red Sox,AL,AL,2.0,2.0,2.3,1.479565217391304,55.451072583015005,-100.0,2023-04-01,-108.0,-192.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Betway']
Cleveland Guardians,2.2,2.25,2.25,2.5,2.4,2.3,2.2,2.05,2.1,2.1,2.31,2.1,2.12,2.12,2.07,2.12,2.1,2.12,2.12,2.24,2.13,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cf428a63d7e199c4649c46ddb08f82da,2023-04-01 18:55:00,Seattle Mariners,Cleveland Guardians,0,Sat,AL,3.0,AL,3.0,N,SEA03,Cleveland Guardians,16.0,2023-04-01 18:55:00,18,1,0,Seattle Mariners,AL,AL,3.0,3.0,2.5,2.2043478260869565,13.41222879684419,150.0,2023-04-01,-108.0,-42.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Betfred']
San Diego Padres,1.16,1.27,1.23,0.0,1.27,0.0,0.0,0.0,0.0,1.24,1.16,1.17,0.0,1.23,1.17,1.15,0.0,0.0,0.0,0.0,0.0,1.15,1.41,0.0,0.0,1.18,1.16,1.22,0.0,1.16,0.0,1.16,0.0,1.16,1.16,1.16,1.42,0.0,0.0,4f7f9bf4d899d20a02ec8128255a10dd,2023-04-01 18:10:00,San Diego Padres,Colorado Rockies,0,Sat,NL,3.0,NL,3.0,D,SAN02,San Diego Padres,28.0,2023-04-01 18:08:00,17,1,1,Colorado Rockies,NL,NL,3.0,3.0,1.42,1.2186363636363635,16.523685192092486,42.0,2023-04-01,-108.0,0.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Williamhill']
Oakland Athletics,6.3,2.4,6.0,2.25,7.0,6.6,2.5,2.85,6.75,7.5,7.5,6.5,7.5,6.75,7.5,7.5,1.01,6.5,2.38,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45d8c3393307fae4c04f000ea024df92,2023-04-01 13:40:00,Oakland Athletics,Los Angeles Angels,0,Sat,AL,2.0,AL,2.0,D,OAK01,Los Angeles Angels,31.0,2023-04-01 13:38:00,13,0,1,Los Angeles Angels,AL,AL,2.0,2.0,7.5,5.585238095238095,34.28254753175888,-100.0,2023-04-01,-108.0,-100.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,"['Foxbet', 'Fanduel', 'Bovada']"
Colorado Rockies,12.0,12.0,8.5,13.0,13.0,15.0,13.0,14.24,13.0,14.81,13.0,16.0,13.5,2.73,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bee5c272e86a6240fdbd4a121fa9408a,2023-04-02 15:00:00,San Diego Padres,Colorado Rockies,0,Sun,NL,4.0,NL,4.0,D,SAN02,San Diego Padres,110.0,2023-04-02 15:00:00,13,0,0,San Diego Padres,NL,NL,4.0,4.0,15.0,12.548749999999998,19.53381810937347,-100.0,2023-04-02,-115.0,-200.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Betonlineag']
Colorado Rockies,10.0,10.0,7.5,8.75,8.5,10.6,9.0,11.67,8.0,10.81,9.0,10.0,10.0,8.5,10.0,10.0,8.5,10.0,8.4,2.73,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bee5c272e86a6240fdbd4a121fa9408a,2023-04-02 14:25:00,San Diego Padres,Colorado Rockies,0,Sun,NL,4.0,NL,4.0,D,SAN02,San Diego Padres,74.0,2023-04-02 14:24:00,13,0,0,San Diego Padres,NL,NL,4.0,4.0,10.6,9.139090909090909,15.98527802645978,-100.0,2023-04-02,-115.0,-300.0,-977.0,-4.6084905660377355,0.30660377358490565,1700.0,-400.0,212.0,-4.6,['Betonlineag']
